partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
FZD3_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD3_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD3_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD3_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24032637
FZD3_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24032637
FZD3_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD3_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD3_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD3_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD3_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD3_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD3_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD3_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD3_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD3_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD4_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD4_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD4_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD4_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD4_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD4_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24032637
FZD4_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD4_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD4_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD4_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD4_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24032637
FZD4_LRP5,Q00604,NDP_HUMAN,,curated,https:ghr.nlm.nih.govgeneNDP
FZD4_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24032637
FZD4_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD4_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD4_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD4_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD4_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD4_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD4_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD4_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD4_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD4_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD4_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24032637
FZD4_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD4_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD4_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD4_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD4_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24032637
FZD4_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24032637
FZD4_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD4_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD4_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD4_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD4_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD5_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24032637
FZD5_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD5_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD5_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD5_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD5_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD5_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24032637
FZD5_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD5_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD5_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD5_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD5_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD5_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD5_LRP5,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD5_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD5_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD5_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD5_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD5_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24032637
FZD5_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD5_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD5_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD5_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD5_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD5_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD5_LRP6,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD5_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD5_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD5_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD5_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD6_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD6_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD6_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD6_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD6_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD6_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD6_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD6_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD6_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD6_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD6_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD6_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD6_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD6_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD6_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD6_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD6_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD6_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD6_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD6_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD6_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD6_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD7_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD7_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD7_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD7_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD7_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD7_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD7_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD7_LRP5,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD7_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD7_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD7_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD7_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD7_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD7_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD7_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD7_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD7_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD7_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD7_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD7_LRP6,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD7_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD7_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD7_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD7_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD8_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD8_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD8_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD8_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD8_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD8_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD8_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD8_LRP5,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD8_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD8_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD8_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD8_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD8_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD8_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD8_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD8_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD8_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD8_LRP6,Q2MKA7,RSPO1_HUMAN,,curated,uniprot
FZD8_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD8_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD8_LRP6,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD8_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD8_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD8_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD8_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD9_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD9_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD9_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD9_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD9_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD9_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD9_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD9_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD9_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD9_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD9_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD9_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD9_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD9_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD9_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD9_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD9_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD9_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD9_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD9_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD9_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD9_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FcRn_complex,P02768,ALBU_HUMAN,,curated,PDB:4n0;PDB:4k7
Follitropin,P23945,,FSHR_HUMAN,curated,reactome
GALR1,P22466,GALA_HUMAN,,curated,uniprot
GALR1,Q9UBC7,GALP_HUMAN,,curated,uniprot
GALR2,P22466,GALA_HUMAN,,curated,uniprot
GALR2,Q9BT56,SPXN_HUMAN,,curated,uniprot
GALR2,Q9UBC7,GALP_HUMAN,,curated,uniprot
GALR3,P22466,GALA_HUMAN,,curated,uniprot
GALR3,Q9BT56,SPXN_HUMAN,,curated,uniprot
GALR3,Q9UBC7,GALP_HUMAN,,curated,uniprot
GMCSFR,P04141,CSF2_HUMAN,,curated,PDB:4nkq
Glycoprotein_Ib_complex,P00734,THRB_HUMAN,,curated,PDB:1hyr_partially
Glycoprotein_Ib_complex,P04275,VWF_HUMAN,,curated,PDB:1m10_partially
HLAA,P43629,HLAA,KI3L1_HUMAN,curated,uniprot
HLAB,P43630,HLAB,KI3L2_HUMAN,curated,uniprot
HLAC,P43626,HLAC,KI2L1_HUMAN,curated,PMID:28484462
HLAC,P43628,HLAC,KI2L3_HUMAN,curated,PMID:28484462
HLAC,Q92520,,,InnateDB-All,
HLADPA1,P22466,,,InnateDB-All,
HLADPA1,P41273,,,InnateDB-All,
HLADPB1,Q02297,,,InnateDB-All,
HLADPB1,Q9Y275,,,InnateDB-All,
HLADQB2,P01236,,,InnateDB-All,
HLADRB1,P20774,,,InnateDB-All,
Histamine_byHDC,P25021,,HRH2_HUMAN,curated,uniprot;reactome
Histamine_byHDC,P35367,,HRH1_HUMAN,curated,uniprot;reactome
Histamine_byHDC,Q9H3N8,,HRH4_HUMAN,curated,uniprot;reactome
Histamine_byHDC,Q9Y5N1,,HRH3_HUMAN,curated,uniprot;reactome
IFNA1,P20023,,,"InnateDB,InnateDB-All",
IFNA1,Type_I_IFNR,IFNA1,,curated,PMID:9208871
IGF1R_enhancerComGPC3,P05019,IGF1_HUMAN,,curated,PMID:18413366
IL10_receptor,P22301,IL10_HUMAN,,curated,PDB:1j7v_partially
IL11_receptor,P20809,IL11_HUMAN,,curated,uniprot
IL12,IL12_receptor,,,curated,uniprot
IL13_receptor,P05112,IL4_HUMAN,,curated,PDB:3bpn
IL13_receptor,P35225,IL13_HUMAN,,curated,3bpo;PDB
IL15_receptor,P40933,IL15_HUMAN,,curated,Need_expression_of_IL15RA_(Q13261)_in_other_cells._2z3q;PDB_partially
IL17_AF,IL17_receptor_AC,,,curated,uniprot
IL17_receptor_AB,Q9H293,IL25_HUMAN,,curated,NA_IL17E_called_IL25
IL17_receptor_AC,Q96PD4,IL17F_HUMAN,,curated,uniprot
IL17_receptor_AE,Q9P0M4,IL17C_HUMAN,,curated,uniprot
IL18_receptor,Q14116,IL18_HUMAN,,curated,3wo3;PDB_partially
IL1_receptor,P01583,IL1A_HUMAN,,curated,uniprot
IL1_receptor,P01584,IL1B_HUMAN,,curated,4dep;PDB
IL1_receptor,P18510,IL1RA_HUMAN,,curated,1irPDB_partially
IL1_receptor_inhibitor,P01583,IL1A_HUMAN,,curated,low_affinity;uniprot
IL1_receptor_inhibitor,P01584,IL1B_HUMAN,,curated,PDB:3o4o
IL1_receptor_inhibitor,P18510,IL1RA_HUMAN,,curated,low_affinity
IL20_receptor_Type_I,Q13007,IL24_HUMAN,,curated,uniprot
IL20_receptor_Type_I,Q9NYY1,IL20_HUMAN,,curated,uniprot
IL20_receptor_Type_I,Q9UHD0,IL19_HUMAN,,curated,uniprot
IL20_receptor_Type_II,Q13007,IL24_HUMAN,,curated,uniprot
IL20_receptor_Type_II,Q9NYY1,IL20_HUMAN,,curated,uniprot
IL21_receptor,Q9HBE4,IL21_HUMAN,,curated,3tgPDB:\w+_partially;uniprot
IL22_receptor,Q9GZX6,IL22_HUMAN,,curated,3dgPDB:$4
IL23,IL23_receptor,,,curated,uniprot
IL26_receptor,Q9NPH9,IL26_HUMAN,,curated,PMID:25421700
IL27,IL27_receptor,,,curated,uniprot
IL28_receptor,Q8IZI9,IFNL3_HUMAN,,curated,5t5w;PDB
IL2_receptor_HA,P60568,IL2_HUMAN,,curated,2b5i;PDB
IL2_receptor_I,P60568,IL2_HUMAN,,curated,3qaz;PDB
IL33_receptor,O95760,IL33_HUMAN,,curated,uniprot
IL35,IL35_receptor,,,curated,uniprot
IL36_receptor,Q8WWZ1,IL1FA_HUMAN,,curated,to_check
IL36_receptor,Q9NZH7,IL36B_HUMAN,,curated,uniprot
IL36_receptor,Q9NZH8,IL36G_HUMAN,,curated,uniprot
IL36_receptor,Q9UBH0,I36RA_HUMAN,,curated,uniprot
IL36_receptor,Q9UHA7,IL36A_HUMAN,,curated,uniprot
IL37_receptor,Q9NZH6,IL37_HUMAN,,curated,See_paper_Nold_Petry_et_al.;2015
IL3_receptor,P08700,IL3_HUMAN,,curated,uniprot
IL4_receptor,P05112,IL4_HUMAN,,curated,3qb7;PDB
IL5_receptor,P05113,IL5_HUMAN,,curated,3qt2;PDB_partially
IL6_receptor,P05231,IL6_HUMAN,,curated,1p9m;PDB
IL7_receptor,P13232,IL7_HUMAN,,curated,3di2;PDB_partially
IL9_receptor,P15248,IL9_HUMAN,,curated,uniprot
Klotho_FGFR1,Q9GZV9,FGF23_HUMAN,,curated,reactome;PMID:25772309
Kremen1_LRP6,O94907,DKK1_HUMAN,,curated,reactome;PMID:27524201;PDB:5FWW
Kremen1_LRP6,Q2MKA7,RSPO1_HUMAN,,curated,uniprot
Kremen2_LRP6,O94907,DKK1_HUMAN,,curated,reactome
Kremen2_LRP6,Q9UBU2,DKK2_HUMAN,,curated,reactome;PMID:12527209
LIFR,P13725,ONCM_HUMAN,,curated,uniprot
LIFR,P15018,LIF_HUMAN,,curated,1pvh;PDB_partially
LRP4_MUSK_complex,O00468,AGRIN_HUMAN,,curated,reactome
Ldopa_byTYR,P51810,,GP143_HUMAN,curated,reactome;uniprot
LeukotrieneB4_byLTA4H,Q13304,,GPR17_HUMAN,curated,uniprot;reactome
LeukotrieneB4_byLTA4H,Q15722,,LT4R1_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneB4_byLTA4H,Q9NPC1,,LT4R2_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneC4_byLTC4S,Q13304,,GPR17_HUMAN,curated,uniprot;reactome
LeukotrieneC4_byLTC4S,Q9NS75,,CLTR2_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneC4_byLTC4S,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneD4_byGGT1,Q13304,,GPR17_HUMAN,curated,uniprot;reactome
LeukotrieneD4_byGGT1,Q9NS75,,CLTR2_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneD4_byGGT1,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneE4_byDPEP1,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneE4_byDPEP2,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome
LeukotrieneE4_byDPEP3,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome
LipoxinA4_byALOX12,P25090,,FPR2_HUMAN,curated,HMRbase;uniprot
LipoxinA4_byALOX12,Q9Y271,,CLTR1_HUMAN,curated,HMRbase
LipoxinA4_byALOX5,P25090,,FPR2_HUMAN,curated,HMRbase;uniprot
LipoxinA4_byALOX5,Q9Y271,,CLTR1_HUMAN,curated,HMRbase
Lthyroxine_byTPO,P10828,,THB_HUMAN,curated,HMRbase;uniprot
M5A8F1,Q15758,SUPYN_HUMAN,AAAT_HUMAN,curated,uniprot
MIS_receptor_1,P03971,MIS_HUMAN,,curated,PMID:22710174
MIS_receptor_2,P03971,MIS_HUMAN,,curated,PMID:22710174
MIS_receptor_3,P03971,MIS_HUMAN,,curated,PMID:22710174
Melatonin_byASMT,P48039,,MTR1A_HUMAN,curated,uniprot;reactome
Melatonin_byASMT,P49286,,MTR1B_HUMAN,curated,uniprot;reactome
NKG2D_II_receptor,Q29980,MICB_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q29983,MICA_HUMAN,,curated,1hyr;PDB_partially;Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q5VY80,RET1L_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577._4s0u;PDB_partially
NKG2D_II_receptor,Q6H3X3,RET1G_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q8TD07,N2DL4_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q9BZM4,N2DL3_HUMAN,,curated,Induces_NK_Cell_Activation;PMID:24223577;PDB:1kcg_partially
NKG2D_II_receptor,Q9BZM5,N2DL2_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q9BZM6,N2DL1_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NODAL_receptor_IbIIa_CFC1,Q96S42,NODAL_HUMAN,,curated,reactome
NODAL_receptor_IbIIa_TDGF1,Q96S42,NODAL_HUMAN,,curated,reactome
NODAL_receptor_IbIIb_CFC1,Q96S42,NODAL_HUMAN,,curated,PMID:22710174
NODAL_receptor_IbIIb_TDGF1,Q96S42,NODAL_HUMAN,,curated,PMID:22710174
NODAL_receptor_IcIIb_CFC1,Q96S42,NODAL_HUMAN,,curated,reactome;PMID:15150278
NODAL_receptor_IcIIb_TDGF1,Q96S42,NODAL_HUMAN,,curated,reactome;PMID:15150278
Noradrenaline_byDBH,P07550,,ADRB2_HUMAN,curated,HMRbase;reactome
Noradrenaline_byDBH,P08588,,ADRB1_HUMAN,curated,HMRbase;reactome
Noradrenaline_byDBH,P08913,,ADA2A_HUMAN,curated,reactome
Noradrenaline_byDBH,P13945,,ADRB3_HUMAN,curated,HMRbase;reactome
Noradrenaline_byDBH,P18089,,ADA2B_HUMAN,curated,reactome
Noradrenaline_byDBH,P18825,,ADA2C_HUMAN,curated,reactome
